pair_id,customer_msg,true_intent,ambiguous,notes
uc_1097878,@Uber_Support I have reached out through email and the app,general_query,True,mixed/context-dependent
uc_1794401,Craving dumplings. Help a sister out @115877 👋🏼,delivery_order,False,
uc_2907302,"I am pissed with @115873 !! My driver was 3 minutes away! Mind you I need to be to work at 3, the driver CANCELS on me and now I’m late to work! Why take the ride if you already had someone you were dropping off? Then turn around and cancel",trip_issue,False,
uc_393638,@Uber_Support what do I do when I get charged for a ride that never came?,billing_payment,False,
uc_1449727,@115873 why are the airports trying to ruin y'all by making me travel so far out of the way?,trip_issue,False,
uc_303059,@Uber_Support I used my friends Uber account. Is there a contact number I can use ?,general_query,False,
uc_39702,@Uber_Support But I need to know now this is a scheduled ride for Friday.,general_query,True,mixed/context-dependent
uc_1240679,Very dodgy @115873 driver in central Manchester fraudulently doing kerbside pick ups like black cabs. Anyone at Uber interested in a report? Sped off when challenged.,trip_issue,False,
uc_2229809,@Uber_Support There’s no place to write a msg. One: driver didn’t alert me he was here and left. and charged me a cancellation fee,billing_payment,True,mixed/context-dependent
uc_1560078,@Uber_Support I follow up at that link. Looking forward to reply. I hope you don’t penalize drivers for following the bad uber app directions.,general_query,True,mixed/context-dependent
uc_2389881,@Uber_Support anyone on,general_query,False,
uc_934544,"@Uber_Support I had a question about my billing for UberEats, added a gift card into my account but you guys charged my card instead!",billing_payment,True,mixed/context-dependent
uc_2373620,So @115873 and @Uber_Support decide to cheat me off my money and then disgust me with these responses. #UberCheat #UberIndia https://t.co/Y5U585gECm,service_complaint,True,mixed/context-dependent
uc_1166834,@Uber_Support 9654278004 Driver refuswd to take my rides but still cancellation has been charged to my account. Very unfair business,billing_payment,True,mixed/context-dependent
uc_864623,@Uber_Support I just did...'awaiting further instructions and connections. thank you!,general_query,False,
uc_2805266,@115873 @Uber_Support My drivwr asked cash on a non cash trip. I asked him to cancel and then he refused to cancel and kept going on. I had to cancel it and said u complain in Uber they would not anything . This is ur reputation. Another driver same issue https://t.co/X1Vkn0Xljy,trip_issue,False,
uc_2697779,"@115873 @119983 while I booked cab , driver switched off cell and I'm waiting since 20 mints",trip_issue,False,
uc_1379953,@Uber_Support That I know... But y should... Read my tweet again,general_query,False,
uc_1891257,@Uber_Support I was rear ended by an Uber driver. How do I contact you &amp; report the accident? Your Help section doesn't have any useful info,safety_incident,False,
uc_126494,@Uber_Support my Mail reciepent address is :__email__,general_query,False,
uc_1411712,@115873 this driver is a menace! Nearly ran me over twice. Not paying attention to pedestrians at all. #Uber #Bad Driver. https://t.co/Ha2mb5eNOx,safety_incident,False,
uc_2689597,"@115877 My friends free delivery code doesn’t work when I try to use it, and I don’t even seem to have one to give back!",billing_payment,False,
uc_374247,My @115877 is currently an hour plus late,delivery_order,True,mixed/context-dependent
uc_1539379,@Uber_Support __email__,general_query,False,
uc_2489130,@Uber_Support I can't place an order on uber eats because it says 'error cannot verify payment profile'. pls help.,delivery_order,True,mixed/context-dependent
uc_2217510,"@115873 is too arrogant , they blocked my account for promotions, and not removing it also, not giving justifiable reason!!! #UberisTooArrogant #KeepYourPromotionsWithYou #Arrogant #Uber #Cab #PrivateCab #PrivateCabUber",account_access,False,
uc_2916495,@115873 WTF are your uber driver doing in gatwick? It's the 3time I order it and they cancel aftr 3mi waiting. Exactly the same than last week,trip_issue,False,
uc_2408983,@Uber_Support I was one of the first to try at 2pm - I assume they are old sold out now as it’s still not showing 😕 https://t.co/yvsGbzmRTG,billing_payment,True,mixed/context-dependent
uc_2170130,my @115873 driver sold my iphone that i️ left in his car...even when i️ reported it a missing item. only found out from the poor soul he sold it to #lyftforlife #ubercrooks,trip_issue,True,mixed/context-dependent
uc_883648,@Uber_Support how do I toggle my payment method. I wanna use my uber credit balance for uber eats but it keeps trying to charge my card :(,billing_payment,False,
uc_834479,@Uber_Support Check your Dm I have sent more screen shot on the debit initiated.,general_query,True,mixed/context-dependent
uc_2347975,@Uber_Support no I don't receive it !,general_query,False,
uc_2923014,@Uber_Support still haven’t heard back from anyone about the mess that happened last week. 🤔🤔🤔,service_complaint,False,
uc_1085290,@Uber_Support Hi. I would like to find out where my background screening check is.at right now. Could you provide me with its link? Thanks,general_query,False,
uc_2733010,@115873 blocking my driveway WA license BEW8530. MOVE CAR!,trip_issue,False,
uc_514080,@115877 wth https://t.co/AeKdBiDMxH,general_query,False,
uc_2776124,@Uber_Support hello can you help me unban my account? I had set up a credit card that I had locked to be used and forgot to unlock before requesting a ride and was banned,account_access,False,
uc_232583,@Uber_Support Will wait only for 5 days if Uber won't respect my Language i am not going to use this app and tell my friends too.,service_complaint,False,
uc_177911,@Uber_Support I just checked both emails and spam and nothing ? Should I just call cause this is ridiculous,service_complaint,False,
uc_716102,Nothing like being in an @115873 accident to get your blood pumping and your clothing soaked in a downpour waiting for a cab.,safety_incident,False,
uc_129958,@Uber_Support One of the worst experience with Uber Pool. My trip was ended in half way and I was asked to leave vehicle by Customer Care executive when driver contacted him. Horrible treatment? Shame on Uber! https://t.co/luVbyjLwzO,trip_issue,False,
uc_1504420,UGH I WISH I COULD @115877 please come to Rochester! https://t.co/Y34CCXw3Cw,general_query,False,
uc_2052588,@Uber_Support I was charged almost 80$ for no reason and was double charged for a trip I took this weekend and no one is responding....,billing_payment,False,
uc_1568871,@Uber_Support I did already... and spent 2 weeks working with them without a solution,service_complaint,False,
uc_1384256,Your driver went miles away and you are still charging me for it ? @Uber_Support @115873 https://t.co/u3Qyj1GnVe,billing_payment,True,mixed/context-dependent
uc_146866,Dear @Uber_Support my driver lied in a report and said I spilled things in the back of the car and so Uber charged me a $150 cleaning fee. What is the meaning of this!?!,billing_payment,False,
uc_948935,@345042 @115877 their delivery fees be more than the fuckin food bruh,billing_payment,True,mixed/context-dependent
uc_1013844,@Uber_Support Go read your emails,general_query,False,
uc_1507129,"@Uber_Support Cannot belive the level of incompetence and frankly, shitty #CustomerService",service_complaint,False,
uc_2495215,Yo our Uber driver just offered us a shot of fireball like wtf 😂😂😂 lmao,safety_incident,False,
uc_1141779,@Uber_Support Cant access your server.,account_access,False,
uc_2691940,@Uber_Support our driver has cancelled our order and we can’t get hold of him... please help,delivery_order,False,
uc_1311983,"@Uber_Support Trying to coordinate rides for others during Norcal fires, need support and questions answered ASAP!!!",general_query,False,
uc_2427557,@Uber_Support Still waiting. Why is this taking so long to sort out,service_complaint,False,
uc_2941466,@115873 not very happy with your drivers in Pune india,service_complaint,False,
uc_1121379,Going to bed starving thanks to @115877 #neveragain,delivery_order,False,
uc_2366474,@115877 just messed my order up so badly and now I'm stuck with food I'm allergic to and have to just straight up order new food because they won't make it right. People are straight dumb as shit,delivery_order,False,
uc_2614405,I'm sorry to shame like this. But this is the 4th @115873 where the drivers personal hygiene smells way below par. I don't wanna star people lowly because of that but cmon #uberdrivers 😷😷😷🤢👃🏻,trip_issue,False,
uc_2078989,Just had the worst @115877 experience 👎🏼👎🏼👎🏼 and there’s no number to call or even communicate with anyone 🙄,service_complaint,True,mixed/context-dependent
uc_2539059,@Uber_Support CHECK DM,general_query,False,
uc_2923045,"@Uber_Support Kindly, resolve the issue asap as it has already been 48 hours and the problem still exist",service_complaint,False,
uc_2524602,"@115877 wow why is the surge 14$+ is toronto???? Is this a glitch? And how come certain restaurant I use to order from are ""too far now""",billing_payment,True,mixed/context-dependent
uc_934552,@Uber_Support Not acceptable!!! We are starting a social media campaign to fix this!! Thousands of drivers are spending countless hours driving,service_complaint,False,
uc_2145882,Why does it charge twice sometimes for one route? Just for the money to be put back in the account...is it a hold or error? @Uber_Support,billing_payment,False,
