pair_id,customer_tweet_id,customer_msg,brand_reply,created_at
uc_1427199,1427199,@Uber_Support This link was not helpful at all. How do I receive my credit for my driver canceling when she had no reason to,@451524 Sorry for the confusion. Please send us a note at https://t.co/h840Iouehc so our team can connect.,Thu Nov 02 05:07:25 +0000 2017
uc_1332868,1332868,1)Hey @115877 I have ordered from you many times without issue. Tonight I make an idea then a few minute later it’s cancelled.,@430934 We're sorry to hear this. Can you please send us a DM so we can look into this?,Fri Oct 27 13:18:40 +0000 2017
uc_1787453,1787453,"@Uber_Support Hi, is there any way for me to pay to Uber back? I was one of the Uber Driver. there is -RM9 in my estimated bank deposit ( uber pay statment). I have stop from doing Uber for quite a long time and not plan to cont yet. please help.",@536994 Here to help. Send us a note at https://t.co/EkibplQL1j so our team can connect.,Fri Nov 17 11:51:55 +0000 2017
uc_2495215,2495215,Yo our Uber driver just offered us a shot of fireball like wtf 😂😂😂 lmao,@712154 We apologize for the trouble! Send us a DM with your email address with additional details and we'll follow up.,Mon Oct 30 00:20:50 +0000 2017
uc_2696187,2696187,"@115873 why did my uber cost £7.50 when it stated £4-£6? I have complained on the app, my uber driver took me a very long way round!",@757642 Here to help! We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,Sun Nov 19 18:36:12 +0000 2017
uc_1593466,1593466,I love it when the @115873 driver cancels the ride because they missed both turns two minutes from where im standing!,@489732 Here to help. Send us a note at https://t.co/593jusCquh so our team can connect.,Sun Nov 26 03:32:30 +0000 2017
uc_1589459,1589459,@Uber_Support not not for new year’s eve in london.. you must have some idea...🙂,@488750 Feel free to take a look at the following page for more information on dynamic pricing: https://t.co/QRLZIgZDSB.,Sat Nov 04 23:34:34 +0000 2017
uc_524304,524304,Very unprofessional @1285 drivers . My pick up shows 1 min &amp; the driver calls and says i on my way . 12 calls from me to him n he disconnects / switches off waiting for me to cancel the ride needless to say am late #uberdriver @Uber_Support @115873 https://t.co/E4xr0qDAqJ,@241215 We're sorry to hear this was your experience. Contact us via https://t.co/e8HVoseGiP and we'll be in touch.,Sat Dec 02 05:24:48 +0000 2017
uc_535318,535318,Not quite sure my @115873 driver is relying on GPS to get to the airport rather than GOING TO THE AIRPORT!,@244020 Here to help! Send us a note via https://t.co/fS660rQ8NQ so our team can connect.,Sat Dec 02 12:32:20 +0000 2017
uc_1487188,1487188,"Love it when I dispute a charge with @115873 because I prevented your ""out-of-it"" driver from hitting a pedestrian, then get denied? #lyft",@465402 We're here to help! Send us a DM with your email address and more details so we can follow up.,Fri Nov 03 04:59:13 +0000 2017
