pair_id,customer_msg,draft,h_grounded,h_helpful,h_polite
uc_478095,@Uber_Support You should have left the terms as they previously were with UNLIMITED UberPOOL and UberX throughout the City of Chicago and not to a specific destination 😡😡😡🤬🤬🤬,@129056 We're here to help! Please send us a note here; https://t.co/rOtqyWzf0B so our team can connect.,1,0,1
uc_1085290,@Uber_Support Hi. I would like to find out where my background screening check is.at right now. Could you provide me with its link? Thanks,@381532 We see your DM. We'll follow up there.,1,0,1
uc_1024536,"@Uber_Support - My BF keeps getting these promotions, but I never get these in my inbox. I've checked the spam folder. How do I sign up? https://t.co/Mu9Khv5OcM","@816764 Here to help! For more info about purchasing ride pass, please click here: https://t.co/3h8wdQ4EJK",0,0,1
uc_521793,@Uber_Support Waiting for support 🙏,"@191686 Hello, we did receive your latest message, and we will be contacting you directly through that thread moving forward.",1,1,1
uc_374247,My @115877 is currently an hour plus late,"@255906 We would be happy to take a closer look if you would like, we will just need you to DM us your email address and more information of the issue. We look forward to hearing from you.",1,1,1
uc_2427557,@Uber_Support Still waiting. Why is this taking so long to sort out,"@191686 Hello, we did receive your latest message, and we will be contacting you directly through that thread moving forward.",1,1,1
uc_2558777,"@726387 @Uber_Support @115873 Most annoying part is without understanding the trouble Sir, restart your app Sir, re-register Sir, reinstall the app Sir, Have u tried sign out and sign in...",@188801 Hi Noman! We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,1,1,1
uc_2366474,@115877 just messed my order up so badly and now I'm stuck with food I'm allergic to and have to just straight up order new food because they won't make it right. People are straight dumb as shit,"@619994 We'd like to look into this, Giovanni. Please send us a note at https://t.co/xLLG6cfrJA and a member of our team will follow up.",1,1,1
uc_750056,@Uber_Support why was my account disabled when I haven't even taken my first trip yet lol,@189779 So sorry about the trouble! Please send us a DM with your email address and phone number so we can connect.,1,1,1
uc_381034,"@115877 Hey, Out order came it was very wrong. Can't find a way to resolve this through the app. Thanks :)","@672726 We're here to help, Lauren! Please send us a DM with your UberEATS account email address and phone number.",1,1,1
uc_1121379,Going to bed starving thanks to @115877 #neveragain,"@297091 Found your request, Kyanna! Our team is reviewing and will get back to you as quickly as possible via in-app support.",1,1,1
uc_2143543,@115873 I get charged for a ride in which the driver never picked me up,"@297160 Let's take a closer look at this for you, Trevir. Please DM us your email address and issue details; we'll follow up.",1,1,1
uc_1663614,@Uber_Support Whats the use of sending promo code when they are invalid? #Fakeoffers #highlydisappointed,"@706581 Hi there! We're here to help. Send us a note here, https://t.co/O1dsjntprg and so our team will assist.",1,0,1
uc_1504420,UGH I WISH I COULD @115877 please come to Rochester! https://t.co/Y34CCXw3Cw,@194804 Encantados de revisar esto para usted. Por favor ponerse en contacto en https://t.co/qHI8xcWfiW para que podamos ayudar!,0,0,1
uc_864623,@Uber_Support I just did...'awaiting further instructions and connections. thank you!,"@297553 Thank you for the update, Andrew! Your opinion definitely matters to us. A member of our team will be following up via DM momentarily.",1,1,1
uc_2145882,Why does it charge twice sometimes for one route? Just for the money to be put back in the account...is it a hold or error? @Uber_Support,"@202299 Sorry for the trouble! Send us a note here, https://t.co/DceIRNI6kV, and our team will be in touch.",1,0,1
uc_2697779,"@115873 @119983 while I booked cab , driver switched off cell and I'm waiting since 20 mints",@360746 We're happy to connect. Please reach out at https://t.co/wW2bTlNcsR and a member of our team will be in touch shortly.,1,0,1
uc_2923045,"@Uber_Support Kindly, resolve the issue asap as it has already been 48 hours and the problem still exist",@248855 We can definitely take a look! Send us a DM with your email address so we can follow up.,1,1,1
uc_2776153,@Uber_Support FIX THIS @115873 !,@417069 Here to help! Send us a note via https://t.co/xMxswVLBKT so we can help.,1,0,1
uc_1097878,@Uber_Support I have reached out through email and the app,"@127433 Happy to help clarify, Drew! Please reach out here: https://t.co/zUe0dj6yoX for more info on ride passes.",0,0,1
uc_2907302,"I am pissed with @115873 !! My driver was 3 minutes away! Mind you I need to be to work at 3, the driver CANCELS on me and now I’m late to work! Why take the ride if you already had someone you were dropping off? Then turn around and cancel",@499921 Hi there! Please send us a note at https://t.co/QsI1vsvcif and we'll be happy to look into this for you.,1,1,1
uc_948935,@345042 @115877 their delivery fees be more than the fuckin food bruh,@180473 Please DM us your account email address so we can review the status of this request. https://t.co/sd7yH5jmbJ,1,0,1
uc_2862651,@Uber_Support no!,@350183 Hey there! Please send a DM our way with your account email and phone number so we can connect.,1,0,1
uc_2130229,"@115873 I'm an Uber driver. Since my car, Hyundai Elantra was vandalized and is in for repairs, my rental car, Hyundai Sonata, is included under my existing Elantra policy that you currently have on file. Can you help clear up this insurance snafu so I can drive ?",@463102 That doesn't sound right! Can you please contact us via https://t.co/fS660rQ8NQ so our team can connect?,1,1,1
uc_2524602,"@115877 wow why is the surge 14$+ is toronto???? Is this a glitch? And how come certain restaurant I use to order from are ""too far now""","@124546 Sorry to hear that, Alan! Please send us a note with your delivery address and the restaurant details at https://t.co/wLKQOAMWCk so we can look into this further for you.",0,0,1
